reader_id,book_id,rating,rated_at,title,author,genre,publisher,publication_year,format
25,B005,2.0,2024-02-03,Harry Potter à l'école des sorciers,J.K. Rowling,SF,Gallimard,1997,Broché
6,B038,5.0,2025-06-24,La Société du spectacle,Guy Debord,Essai,Gallimard,1967,Relié
25,B033,3.0,2023-01-11,Le Deuxième Sexe,Simone de Beauvoir,Essai,Gallimard,1949,Broché
1,B022,4.0,2025-09-09,Madame Bovary,Gustave Flaubert,Roman,Flammarion,1857,Broché
24,B022,3.0,2024-08-17,Madame Bovary,Gustave Flaubert,Roman,Le Livre de Poche,1857,Broché
24,B043,2.0,2023-06-03,Factfulness,Hans Rosling,Essai,Le Masque,2018,Poche
24,B005,4.0,2023-11-28,Harry Potter à l'école des sorciers,J.K. Rowling,Poésie,Gallimard,1997,Poche
20,B035,5.0,2024-08-30,Mrs Dalloway,Virginia Woolf,Roman,10/18,1925,Poche
15,B010,2.0,2023-12-12,L'Art de la guerre,Sun Tzu,Essai,Le Livre de Poche,-500,Poche
22,B005,4.0,2023-04-29,Harry Potter à l'école des sorciers,J.K. Rowling,Jeunesse,Gallimard,1997,Poche
9,B026,2.0,2024-12-30,Macbeth,William Shakespeare,Roman,Bragelonne,1606,Poche
24,B048,4.0,2025-01-06,Deep Learning,Goodfellow et al.,Polar,Pearson,2016,Broché
17,B037,4.0,2023-05-11,L'Étrange Défaite,Marc Bloch,Roman,Gallimard,1946,Numérique
14,B038,3.0,2023-11-05,La Société du spectacle,Guy Debord,Essai,Bragelonne,1967,Relié
16,B036,4.0,2023-09-25,La Condition humaine,André Malraux,Roman,Gallimard,1933,Broché
18,B039,2.0,2024-12-23,Surveiller et punir,Michel Foucault,Biographie,Gallimard,1975,Numérique
2,B026,1.0,2025-03-11,Macbeth,William Shakespeare,Roman,Albin Michel,1606,Poche
5,B007,1.0,2025-03-07,Fondation,Isaac Asimov,SF,Denöel,1951,Broché
8,B042,3.0,2025-10-25,Homo Deus,Yuval Noah Harari,Essai,Albin Michel,2015,Broché
4,B023,5.0,2025-04-22,Les Fleurs du mal,Charles Baudelaire,SF,Actes Sud,1857,Broché
14,B025,1.0,2023-12-18,Hamlet,William Shakespeare,Roman,Gallimard,1603,Relié
